City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Qaqortoq,61,GL,1561677095,66,60.72,-46.03,53.6,6.93
Hithadhoo,100,MV,1561677096,69,-0.6,73.08,83.77,5.28
Vaini,100,IN,1561677096,91,15.34,74.49,77.29,6.04
Lingao,86,CN,1561677096,71,19.91,109.69,86.47,21.65
Kadoma,75,JP,1561677097,94,34.73,135.6,78.01,8.05
Butaritari,1,KI,1561677097,70,3.07,172.79,84.06,11.03
Jega,0,NG,1561677097,56,12.22,4.38,86.31,12.3
Payo,95,ID,1561677098,90,-3.75,103.64,67.16,2.91
Ushuaia,20,AR,1561677098,92,-54.81,-68.31,28.4,17.22
San Cristobal,21,HN,1561677098,59,14.68,-86.92,75.04,6.96
Mataura,4,NZ,1561677098,82,-46.19,168.86,48.0,5.99
Hobart,75,AU,1561677099,66,-42.88,147.33,57.0,9.17
Maningrida,53,AU,1561677099,71,-12.05,134.23,73.28,8.5
Tuktoyaktuk,40,CA,1561677099,81,69.44,-133.03,44.6,10.29
Hirara,75,JP,1561677100,88,24.8,125.28,82.4,16.11
La Palma,13,CO,1561677100,80,5.36,-74.39,74.2,2.62
Punta Arenas,40,CL,1561677100,74,-53.16,-70.91,28.4,13.87
Rikitea,100,PF,1561677100,82,-23.12,-134.97,75.33,17.16
Puerto Ayora,0,EC,1561677101,73,-0.74,-90.35,77.0,19.46
Sargatskoye,33,RU,1561677101,90,55.6,73.49,47.27,5.03
Port Elizabeth,1,US,1561677101,43,39.31,-74.98,91.0,3.36
Mar del Plata,2,AR,1561677102,48,-46.43,-67.52,30.8,8.1
Mehran,0,IR,1561677102,25,33.12,46.17,73.4,4.7
Dingle,93,PH,1561677103,86,11.0,122.67,77.65,8.14
Saskylakh,100,RU,1561677103,39,71.97,114.09,58.1,7.85
Ratnagiri,100,IN,1561677104,82,16.98,73.3,83.11,19.44
Vila Velha,20,BR,1561677104,78,-3.71,-38.6,80.6,12.75
Punta Cardon,75,VE,1561677104,81,11.61,-70.22,79.72,34.72
Busselton,10,AU,1561677105,98,-33.64,115.35,39.0,21.18
Port Augusta,0,AU,1561677105,67,-32.49,137.76,63.0,11.41
